time,accX,accY,accZ,target,group
2023-09-15 15:11:09.758,-4.16,-0.59,-1.98,Walk,1
2023-09-15 15:11:09.774,-5.18,-0.65,-2.12,Walk,1
2023-09-15 15:11:09.792,-6.41,-1.12,-1.76,Walk,1
2023-09-15 15:11:09.808,-7.08,-1.48,-1.51,Walk,1
2023-09-15 15:11:09.825,-7.92,-2.23,-0.9,Walk,1
2023-09-15 15:11:09.842,-8.22,-2.93,-0.23,Walk,1
2023-09-15 15:11:09.858,-8.34,-3.13,0.2,Walk,1
2023-09-15 15:11:09.875,-8.84,-2.06,1.09,Walk,1
2023-09-15 15:11:09.892,-8.41,-1.61,2.18,Walk,1
2023-09-15 15:11:09.907,-8.55,-1.88,2.5,Walk,1
2023-09-15 15:11:09.925,-10.05,-2.56,2.38,Walk,1
2023-09-15 15:11:09.942,-11.39,-2.78,2.51,Walk,1
2023-09-15 15:11:09.958,-11.67,-2.91,2.6,Walk,1
2023-09-15 15:11:09.975,-11.52,-3.04,2.65,Walk,1
2023-09-15 15:11:09.991,-9.94,-2.43,2.06,Walk,1
2023-09-15 15:11:10.008,-8.86,-1.87,1.55,Walk,1
2023-09-15 15:11:10.025,-7.1,-1.04,0.72,Walk,1
2023-09-15 15:11:10.041,-6.15,-0.26,0.16,Walk,1
2023-09-15 15:11:10.058,-5.83,0.51,-0.05,Walk,1
2023-09-15 15:11:10.075,-5.53,0.95,0.0,Walk,1
2023-09-15 15:11:10.091,-4.9,1.45,0.0,Walk,1
2023-09-15 15:11:10.108,-3.63,2.03,-0.56,Walk,1
2023-09-15 15:11:10.125,-2.7,2.35,-1.11,Walk,1
2023-09-15 15:11:10.141,-0.99,,,Walk,1
2023-09-15 15:11:10.158,0.53,3.33,-2.79,Walk,1
